Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66bccd1004444d4df87e681d,65bd6e6d58e4443614dae27b,APPROVED,Not Applicable,2024-08-14T15:28:16.488000Z,2024-08-14T15:58:48.125000Z,2024-08-15T08:17:50.312000Z,2024-08-14T16:00:22.814340Z,1832,CLMUZNH2,1040,25,Female,Asian,Philippines,United States,Philippines,Tagalog-Filipino,No,Unemployed (and job seeking)
66bccd11e692abccc2170a18,666b2ae7c62c11d17f304263,APPROVED,Not Applicable,2024-08-14T15:28:27.273000Z,2024-08-14T16:20:21.622000Z,2024-08-15T08:17:50.607000Z,2024-08-14T16:21:53.849664Z,3115,CLMUZNH2,215,34,Female,White,United States,United States,United States,English,Yes,Full-Time
66bccd217ce8e4f86b0b4f60,669bbfabf8a31bf01a09bc49,APPROVED,Not Applicable,2024-08-14T15:32:34.420000Z,2024-08-14T16:03:57.448000Z,2024-08-15T08:17:50.880000Z,2024-08-14T16:03:58.355164Z,1884,CLMUZNH2,154,36,Female,White,United States,United States,United States,English,No,Full-Time
66bccf362142b98e0b652679,63d6f2705562fd353b7948dc,APPROVED,Not Applicable,2024-08-14T15:37:50.610000Z,2024-08-14T16:09:44.289000Z,2024-08-15T08:16:59.744000Z,2024-08-14T16:11:13.882041Z,1914,CLMUZNH2,3713,31,Male,Black,United States,United States,United States,English,No,Full-Time
66bccf8d07703bf2578d22ac,660a9e67953a82733f06c302,APPROVED,Not Applicable,2024-08-14T15:42:03.503000Z,2024-08-14T16:20:55.958000Z,2024-08-15T08:17:51.205000Z,2024-08-14T16:22:09.288225Z,2333,CLMUZNH2,705,27,Female,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,Full-Time
66bccff60de11f6d6cb53547,662fbb4163d7a1695a748636,APPROVED,Not Applicable,2024-08-14T15:41:03.775000Z,2024-08-14T16:10:29.086000Z,2024-08-15T08:17:00.072000Z,2024-08-14T16:11:36.623819Z,1766,CLMUZNH2,518,32,Male,White,United States,United States,United States,English,Yes,Full-Time
66bccff85c2a45d4ce9d933e,5652916bfea9c60012c5cdc1,APPROVED,Not Applicable,2024-08-14T15:40:40.455000Z,2024-08-14T16:19:09.441000Z,2024-08-15T08:17:00.391000Z,2024-08-14T16:21:30.397220Z,2309,CLMUZNH2,1740,37,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bcd1dbd7d5060e7a069c2f,6649fdbf07e464189e4b1981,APPROVED,Not Applicable,2024-08-14T15:48:53.001000Z,2024-08-14T16:29:48.669000Z,2024-08-15T08:17:01.416000Z,2024-08-14T16:34:27.212421Z,2456,CLMUZNH2,488,27,Male,Black,Nigeria,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bcd1e0f5cb31745d1b347d,664d6d6d9d70a0875eada8a6,APPROVED,Not Applicable,2024-08-14T15:48:52.764000Z,2024-08-14T16:19:55.720000Z,2024-08-15T08:17:01.778000Z,2024-08-14T16:21:45.107483Z,1863,CLMUZNH2,285,23,Male,White,United States,United States,United States,English,No,Part-Time
66bcd608ea7656d9bdcd6a39,5de56b9deda9320ecb83f522,APPROVED,Not Applicable,2024-08-14T16:06:32.964000Z,2024-08-14T16:36:13.613000Z,2024-08-15T08:17:02.162000Z,2024-08-14T16:36:14.308633Z,1781,CLMUZNH2,46,30,Male,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time
